Word,Max,Expected,Median,25th Perc,75th Perc
SKOLS,159,69.17511177347242,45.0,26.0,95.0
PLUOT,210,69.35469448584203,45.0,15.0,89.0
QUOPS,159,69.41728763040238,58.0,22.0,109.0
SOLUS,191,69.49329359165425,38.0,23.0,108.0
KNUBS,191,69.58271236959762,47.0,19.0,88.0
PULUS,188,69.60730253353204,55.0,21.25,93.0
SLOBS,163,69.60879284649776,62.0,23.0,110.0
TUSHY,221,69.6333830104322,49.0,12.0,86.0
MUSTH,219,69.68703427719821,40.0,11.0,126.0
PLONK,188,69.80923994038749,44.5,19.0,102.0
STULL,172,69.85022354694486,57.0,21.0,113.0
GNOWS,160,69.99701937406856,68.0,13.0,116.0
SULFO,198,70.01043219076006,51.0,15.0,91.0
WONKS,166,70.0193740685544,61.0,15.0,110.0
BOYGS,212,70.04619970193741,59.0,13.0,84.0
COOPS,209,70.05290611028316,53.5,18.0,114.0
PULLS,188,70.10432190760059,55.0,22.0,93.0
BUCKS,199,70.14157973174366,48.0,15.0,89.0
VOLKS,167,70.17138599105812,59.0,24.0,93.0
SOUTS,197,70.1892697466468,40.0,16.25,118.0
NOMOS,191,70.22950819672131,58.0,21.0,106.0
HULLS,190,70.32712369597616,57.0,24.0,93.0
POTTS,188,70.3301043219076,54.0,19.0,106.0
SYLPH,216,70.3666169895678,42.0,20.0,87.0
COPSY,209,70.39046199701937,48.0,14.0,128.0
SHUCK,185,70.43070044709388,39.0,13.0,109.0
YUCKS,208,70.4634873323398,45.0,16.75,89.0
COTTS,190,70.47317436661699,54.0,20.0,110.0
MOUSY,203,70.5365126676602,46.0,14.0,103.0
WOLFS,176,70.60059612518629,55.0,20.0,105.0
TOUTS,193,70.6274217585693,49.0,20.0,103.0
TOYOS,215,70.65797317436662,45.0,22.0,93.0
STOUT,150,70.69597615499255,61.0,32.0,104.0
GUSTY,229,70.7064083457526,48.0,14.0,85.0
FONLY,197,70.71385991058122,50.0,18.0,103.0
MULCT,208,70.83159463487333,41.0,17.0,100.0
VLOGS,157,70.84202682563338,62.0,21.0,105.0
HOWKS,176,70.86587183308495,52.0,16.0,111.0
COUNT,206,70.91952309985096,35.0,16.0,145.0
YUKOS,215,71.02980625931446,39.0,21.0,87.0
YOKUL,188,71.05514157973174,66.0,22.0,94.0
SLOGS,172,71.08718330849479,64.0,20.0,105.0
BLOBS,156,71.08718330849479,62.0,25.0,110.0
CULLS,195,71.17362146050671,49.0,21.0,90.0
FOWLS,176,71.18032786885246,55.0,20.0,105.0
PULPS,188,71.2645305514158,59.0,23.0,93.0
PLOUK,169,71.31147540983606,46.0,18.0,122.0
MUSTY,235,71.31594634873323,45.0,13.0,81.0
SOKOL,180,71.38897168405366,48.0,29.0,104.0
HOOPS,215,71.41356184798808,49.0,20.0,117.0
SCOOP,189,71.66691505216096,56.0,31.25,122.0
BUTYL,202,71.68405365126677,61.0,19.0,86.0
HONKY,189,71.69448584202682,46.0,16.0,108.0
LUPUS,188,71.81594634873323,66.0,20.0,93.0
HUMFS,208,71.92101341281669,39.0,15.0,142.0
JOHNS,188,72.06408345752608,55.0,26.0,112.0
SLUSH,179,72.07302533532042,51.0,24.0,118.0
STOBS,159,72.10357675111773,73.0,24.0,115.0
MOUNT,208,72.12071535022355,32.0,16.0,132.0
GYNOS,219,72.1311475409836,41.0,13.0,97.0
SNOWK,155,72.14754098360656,60.0,18.0,121.0
POOHS,215,72.16318926974665,49.0,21.0,117.0
CYTON,195,72.21013412816691,65.0,16.0,99.0
FLUTY,216,72.26229508196721,50.0,18.0,121.0
ZLOTY,189,72.3532041728763,54.0,26.0,110.0
HYPOS,226,72.40238450074516,41.0,17.0,98.0
SYNTH,227,72.44709388971684,44.0,14.0,123.0
MOTTS,188,72.45230998509687,58.0,23.0,103.0
BUNTY,224,72.55737704918033,52.0,15.0,98.0
SHULS,190,72.5886736214605,59.0,24.0,112.0
BLUNT,197,72.61102831594634,49.0,20.0,95.0
LUSTS,226,72.62146050670641,67.0,24.0,120.0
CLOMP,187,72.62295081967213,49.0,21.25,119.0
COWKS,179,72.65722801788375,59.0,14.0,114.0
GUTSY,224,72.67213114754098,49.0,13.0,86.0
FOOLS,194,72.7645305514158,58.0,30.0,107.0
WOMBS,180,72.79284649776453,63.0,21.0,111.0
PLUMY,217,72.90461997019374,44.0,14.0,126.0
BOLLS,184,72.93070044709388,58.0,22.0,110.0
SOTHS,198,73.14083457526081,54.0,18.25,112.0
WHUPS,190,73.2026825633383,38.0,16.0,121.0
GYPOS,219,73.24590163934427,53.0,18.25,97.0
POOKS,196,73.35916542473919,58.0,20.0,107.0
COOMS,210,73.3859910581222,61.0,19.0,111.0
LUMPY,217,73.48882265275708,50.0,14.0,101.0
MULLS,195,73.5171385991058,58.0,23.0,91.0
MOPSY,208,73.54992548435172,59.0,12.0,135.0
WOCKS,179,73.56631892697466,59.0,18.0,114.0
JOLTY,203,73.62891207153503,53.0,19.0,107.0
BUSTY,239,73.86140089418778,45.0,14.0,85.0
LOOFS,194,73.88301043219076,58.0,33.0,107.0
ONCUS,209,73.89865871833085,52.0,17.0,129.0
GOWNS,190,73.92250372578242,57.0,13.0,116.0
PYLON,220,73.92995529061103,53.0,16.0,91.0
TOWSY,194,74.03129657228018,61.0,21.0,148.0
BOUSY,211,74.08941877794337,50.0,15.0,114.0
